,pId,title,url,successCnt,submissionCnt,answerRate,level
8478,1362,펫,https://www.acmicpc.net/problem/1362,367,1923,23.800%,4
8479,11608,Complexity,https://www.acmicpc.net/problem/11608,82,163,64.567%,4
8480,8941,Molar mass,https://www.acmicpc.net/problem/8941,81,123,68.644%,4
8481,9056,Letter Bank,https://www.acmicpc.net/problem/9056,81,108,78.641%,4
8482,16175,General Election,https://www.acmicpc.net/problem/16175,81,105,85.263%,4
8483,13462,Battle Simulation,https://www.acmicpc.net/problem/13462,78,140,61.417%,4
8484,9954,Cedric's Cypher,https://www.acmicpc.net/problem/9954,99,136,81.148%,4
8485,17487,타자 연습,https://www.acmicpc.net/problem/17487,229,602,50.000%,4
8486,10173,니모를 찾아서,https://www.acmicpc.net/problem/10173,1197,2815,51.573%,4
8487,8387,Dyslexia,https://www.acmicpc.net/problem/8387,142,292,53.383%,4
8488,16408,Poker Hand,https://www.acmicpc.net/problem/16408,160,223,80.000%,4
8489,5949,Adding Commas,https://www.acmicpc.net/problem/5949,193,278,75.097%,4
8490,21964,선린인터넷고등학교 교가,https://www.acmicpc.net/problem/21964,630,1001,73.341%,4
8491,12780,원피스,https://www.acmicpc.net/problem/12780,847,1652,60.804%,4
8492,20528,끝말잇기,https://www.acmicpc.net/problem/20528,938,1596,67.337%,4
8493,21287,Färgrobot,https://www.acmicpc.net/problem/21287,17,27,77.273%,4
8494,19880,Номер страницы,https://www.acmicpc.net/problem/19880,17,91,25.373%,4
8495,9160,The Brave Sir Robin’s cAsE cOrReCtOr,https://www.acmicpc.net/problem/9160,17,145,20.000%,4
8496,8638,Zwycięzcy,https://www.acmicpc.net/problem/8638,17,19,94.444%,4
8497,5246,Checkerboard Rows,https://www.acmicpc.net/problem/5246,22,40,66.667%,4
8498,4824,Post Office,https://www.acmicpc.net/problem/4824,22,64,46.809%,4
8499,21895,Rock-Paper-Scissors for three,https://www.acmicpc.net/problem/21895,23,25,92.000%,4
8500,21623,Game,https://www.acmicpc.net/problem/21623,23,105,25.275%,4
8501,19842,Restoring the Sequence,https://www.acmicpc.net/problem/19842,23,62,38.333%,4
8502,16735,Congestion Charging Zone,https://www.acmicpc.net/problem/16735,23,66,41.818%,4
8503,8772,Szyfr Cezara,https://www.acmicpc.net/problem/8772,23,50,53.488%,4
8504,5678,Bakugan,https://www.acmicpc.net/problem/5678,23,36,92.000%,4
8505,9387,Gholam’s Simple Game,https://www.acmicpc.net/problem/9387,24,42,60.000%,4
8506,5778,Fake tickets,https://www.acmicpc.net/problem/5778,24,32,75.000%,4
8507,5222,Vigenère Cipher,https://www.acmicpc.net/problem/5222,24,30,92.308%,4
8508,3282,ROOMS,https://www.acmicpc.net/problem/3282,24,26,100.000%,4
8509,10491,Quite a problem,https://www.acmicpc.net/problem/10491,143,366,49.141%,4
8510,15104,Odd Palindrome,https://www.acmicpc.net/problem/15104,110,176,74.324%,4
8511,8717,Taśma,https://www.acmicpc.net/problem/8717,25,59,45.455%,4
8512,18412,文字列の反転 (Inversion of a String),https://www.acmicpc.net/problem/18412,92,152,71.318%,4
8513,5656,비교 연산자,https://www.acmicpc.net/problem/5656,1083,2135,60.503%,4
8514,20350,Account Numbers,https://www.acmicpc.net/problem/20350,29,31,100.000%,4
8515,11575,Affine Cipher,https://www.acmicpc.net/problem/11575,1016,1941,67.779%,4
8516,14659,한조서열정리하고옴ㅋㅋ,https://www.acmicpc.net/problem/14659,2093,6274,41.274%,4
